Entity,Code,Date,Stay at home requirements (OxBSG)
Afghanistan,AFG,"Feb 28, 2020",0
Afghanistan,AFG,"Feb 29, 2020",0
Afghanistan,AFG,"Mar 1, 2020",0
Afghanistan,AFG,"Mar 2, 2020",0
Afghanistan,AFG,"Mar 3, 2020",0
Afghanistan,AFG,"Mar 4, 2020",0
Afghanistan,AFG,"Mar 5, 2020",0
Afghanistan,AFG,"Mar 6, 2020",0
Afghanistan,AFG,"Mar 7, 2020",0
Afghanistan,AFG,"Mar 8, 2020",0
Afghanistan,AFG,"Mar 9, 2020",0
Afghanistan,AFG,"Mar 10, 2020",0
Afghanistan,AFG,"Mar 11, 2020",0
Afghanistan,AFG,"Mar 12, 2020",0
Afghanistan,AFG,"Mar 13, 2020",0
Afghanistan,AFG,"Mar 14, 2020",0
Afghanistan,AFG,"Mar 15, 2020",0
Afghanistan,AFG,"Mar 16, 2020",0
Afghanistan,AFG,"Mar 17, 2020",0
Afghanistan,AFG,"Mar 18, 2020",0
Afghanistan,AFG,"Mar 19, 2020",0
Afghanistan,AFG,"Mar 20, 2020",0
Afghanistan,AFG,"Mar 21, 2020",0
Afghanistan,AFG,"Mar 22, 2020",0
Afghanistan,AFG,"Mar 23, 2020",0
Afghanistan,AFG,"Mar 24, 2020",0
Afghanistan,AFG,"Mar 25, 2020",2
Afghanistan,AFG,"Mar 26, 2020",2
Afghanistan,AFG,"Mar 27, 2020",2
Afghanistan,AFG,"Mar 28, 2020",2
Afghanistan,AFG,"Mar 29, 2020",2
Afghanistan,AFG,"Mar 30, 2020",2
Afghanistan,AFG,"Mar 31, 2020",2
Afghanistan,AFG,"Apr 1, 2020",2
Afghanistan,AFG,"Apr 2, 2020",2
Afghanistan,AFG,"Apr 3, 2020",2
Afghanistan,AFG,"Apr 4, 2020",2
Afghanistan,AFG,"Apr 5, 2020",2
Afghanistan,AFG,"Apr 6, 2020",2
Afghanistan,AFG,"Apr 7, 2020",2
Afghanistan,AFG,"Apr 8, 2020",2
Afghanistan,AFG,"Apr 9, 2020",2
Afghanistan,AFG,"Apr 10, 2020",2
Afghanistan,AFG,"Apr 11, 2020",2
Afghanistan,AFG,"Apr 12, 2020",2
Afghanistan,AFG,"Apr 13, 2020",2
Afghanistan,AFG,"Apr 14, 2020",2
Afghanistan,AFG,"Apr 15, 2020",2
Afghanistan,AFG,"Apr 16, 2020",2
Afghanistan,AFG,"Apr 17, 2020",2
Afghanistan,AFG,"Apr 18, 2020",2
Afghanistan,AFG,"Apr 19, 2020",2
Afghanistan,AFG,"Apr 20, 2020",2
Afghanistan,AFG,"Apr 21, 2020",2
Afghanistan,AFG,"Apr 22, 2020",2
Afghanistan,AFG,"Apr 23, 2020",2
Afghanistan,AFG,"Apr 24, 2020",2
Afghanistan,AFG,"Apr 25, 2020",2
Afghanistan,AFG,"Apr 26, 2020",2
Afghanistan,AFG,"Apr 27, 2020",2
Afghanistan,AFG,"Apr 28, 2020",2
Afghanistan,AFG,"Apr 29, 2020",2
Afghanistan,AFG,"Apr 30, 2020",2
Afghanistan,AFG,"May 1, 2020",2
Albania,ALB,"Jan 1, 2020",0
Albania,ALB,"Jan 2, 2020",0
Albania,ALB,"Jan 3, 2020",0
Albania,ALB,"Jan 4, 2020",0
Albania,ALB,"Jan 5, 2020",0
Albania,ALB,"Jan 6, 2020",0
Albania,ALB,"Jan 7, 2020",0
Albania,ALB,"Jan 8, 2020",0
Albania,ALB,"Jan 9, 2020",0
Albania,ALB,"Jan 10, 2020",0
Albania,ALB,"Jan 11, 2020",0
Albania,ALB,"Jan 12, 2020",0
Albania,ALB,"Jan 13, 2020",0
Albania,ALB,"Jan 14, 2020",0
Albania,ALB,"Jan 15, 2020",0
Albania,ALB,"Jan 16, 2020",0
Albania,ALB,"Jan 17, 2020",0
Albania,ALB,"Jan 18, 2020",0
Albania,ALB,"Jan 19, 2020",0
Albania,ALB,"Jan 20, 2020",0
Albania,ALB,"Jan 21, 2020",0
Albania,ALB,"Jan 22, 2020",0
Albania,ALB,"Jan 23, 2020",0
Albania,ALB,"Jan 24, 2020",0
Albania,ALB,"Jan 25, 2020",0
Albania,ALB,"Jan 26, 2020",0
Albania,ALB,"Jan 27, 2020",0
Albania,ALB,"Jan 28, 2020",0
Albania,ALB,"Jan 29, 2020",0
Albania,ALB,"Jan 30, 2020",0
Albania,ALB,"Jan 31, 2020",0
Albania,ALB,"Feb 1, 2020",0
Albania,ALB,"Feb 2, 2020",0
Albania,ALB,"Feb 3, 2020",0
Albania,ALB,"Feb 4, 2020",0
Albania,ALB,"Feb 5, 2020",0
Albania,ALB,"Feb 6, 2020",0
Albania,ALB,"Feb 7, 2020",0
Albania,ALB,"Feb 8, 2020",0
Albania,ALB,"Feb 9, 2020",0
Albania,ALB,"Feb 10, 2020",0
Albania,ALB,"Feb 11, 2020",0
Albania,ALB,"Feb 12, 2020",0
Albania,ALB,"Feb 13, 2020",0
Albania,ALB,"Feb 14, 2020",0
Albania,ALB,"Feb 15, 2020",0
Albania,ALB,"Feb 16, 2020",0
Albania,ALB,"Feb 17, 2020",0
Albania,ALB,"Feb 18, 2020",0
Albania,ALB,"Feb 19, 2020",0
Albania,ALB,"Feb 20, 2020",0
Albania,ALB,"Feb 21, 2020",0
Albania,ALB,"Feb 22, 2020",0
Albania,ALB,"Feb 23, 2020",0
Albania,ALB,"Feb 24, 2020",0
Albania,ALB,"Feb 25, 2020",0
Albania,ALB,"Feb 26, 2020",0
Albania,ALB,"Feb 27, 2020",0
Albania,ALB,"Feb 28, 2020",0
Albania,ALB,"Feb 29, 2020",0
Albania,ALB,"Mar 1, 2020",0
Albania,ALB,"Mar 2, 2020",0
Albania,ALB,"Mar 3, 2020",0
Albania,ALB,"Mar 4, 2020",0
Albania,ALB,"Mar 5, 2020",0
Albania,ALB,"Mar 6, 2020",0
Albania,ALB,"Mar 7, 2020",0
Albania,ALB,"Mar 8, 2020",0
Albania,ALB,"Mar 9, 2020",0
Albania,ALB,"Mar 10, 2020",0
Albania,ALB,"Mar 11, 2020",0
Albania,ALB,"Mar 12, 2020",0
Albania,ALB,"Mar 13, 2020",2
Albania,ALB,"Mar 14, 2020",2
Albania,ALB,"Mar 15, 2020",2
Albania,ALB,"Mar 16, 2020",2
Albania,ALB,"Mar 17, 2020",2
Albania,ALB,"Mar 18, 2020",2
Albania,ALB,"Mar 19, 2020",2
Albania,ALB,"Mar 20, 2020",2
Albania,ALB,"Mar 21, 2020",2
Albania,ALB,"Mar 22, 2020",2
Albania,ALB,"Mar 23, 2020",2
Albania,ALB,"Mar 24, 2020",2
Albania,ALB,"Mar 25, 2020",2
Albania,ALB,"Mar 26, 2020",2
Albania,ALB,"Mar 27, 2020",2
Albania,ALB,"Mar 28, 2020",2
Albania,ALB,"Mar 29, 2020",2
Albania,ALB,"Mar 30, 2020",2
Albania,ALB,"Mar 31, 2020",2
Albania,ALB,"Apr 1, 2020",2
Albania,ALB,"Apr 2, 2020",2
Albania,ALB,"Apr 3, 2020",2
Albania,ALB,"Apr 4, 2020",2
Albania,ALB,"Apr 5, 2020",2
Albania,ALB,"Apr 6, 2020",2
Albania,ALB,"Apr 7, 2020",2
Albania,ALB,"Apr 8, 2020",2
Albania,ALB,"Apr 9, 2020",2
Albania,ALB,"Apr 10, 2020",2
Albania,ALB,"Apr 11, 2020",2
Albania,ALB,"Apr 12, 2020",2
Albania,ALB,"Apr 13, 2020",2
Albania,ALB,"Apr 14, 2020",2
Albania,ALB,"Apr 15, 2020",2
Albania,ALB,"Apr 16, 2020",2
Albania,ALB,"Apr 17, 2020",2
Albania,ALB,"Apr 18, 2020",2
Albania,ALB,"Apr 19, 2020",2
Albania,ALB,"Apr 20, 2020",2
Albania,ALB,"Apr 21, 2020",2
Albania,ALB,"Apr 22, 2020",2
Albania,ALB,"Apr 23, 2020",2
Albania,ALB,"Apr 24, 2020",2
Albania,ALB,"Apr 25, 2020",2
Albania,ALB,"Apr 26, 2020",2
Albania,ALB,"Apr 27, 2020",2
Albania,ALB,"Apr 28, 2020",2
Albania,ALB,"Apr 29, 2020",2
Albania,ALB,"Apr 30, 2020",2
Albania,ALB,"May 1, 2020",2
Albania,ALB,"May 2, 2020",2
Albania,ALB,"May 3, 2020",2
Albania,ALB,"May 4, 2020",2
Albania,ALB,"May 5, 2020",2
Albania,ALB,"May 6, 2020",2
Albania,ALB,"May 7, 2020",2
Albania,ALB,"May 8, 2020",2
Albania,ALB,"May 9, 2020",2
Albania,ALB,"May 10, 2020",2
Algeria,DZA,"Jan 1, 2020",0
Algeria,DZA,"Jan 2, 2020",0
Algeria,DZA,"Jan 3, 2020",0
Algeria,DZA,"Jan 4, 2020",0
Algeria,DZA,"Jan 5, 2020",0
Algeria,DZA,"Jan 6, 2020",0
Algeria,DZA,"Jan 7, 2020",0
Algeria,DZA,"Jan 8, 2020",0
Algeria,DZA,"Jan 9, 2020",0
Algeria,DZA,"Jan 10, 2020",0
Algeria,DZA,"Jan 11, 2020",0
Algeria,DZA,"Jan 12, 2020",0
Algeria,DZA,"Jan 13, 2020",0
Algeria,DZA,"Jan 14, 2020",0
Algeria,DZA,"Jan 15, 2020",0
Algeria,DZA,"Jan 16, 2020",0
Algeria,DZA,"Jan 17, 2020",0
Algeria,DZA,"Jan 18, 2020",0
Algeria,DZA,"Jan 19, 2020",0
Algeria,DZA,"Jan 20, 2020",0
Algeria,DZA,"Jan 21, 2020",0
Algeria,DZA,"Jan 22, 2020",0
Algeria,DZA,"Jan 23, 2020",0
Algeria,DZA,"Jan 24, 2020",0
Algeria,DZA,"Jan 25, 2020",0
Algeria,DZA,"Jan 26, 2020",0
Algeria,DZA,"Jan 27, 2020",0
Algeria,DZA,"Jan 28, 2020",0
Algeria,DZA,"Jan 29, 2020",0
Algeria,DZA,"Jan 30, 2020",0
Algeria,DZA,"Jan 31, 2020",0
Algeria,DZA,"Feb 1, 2020",0
Algeria,DZA,"Feb 2, 2020",0
Algeria,DZA,"Feb 3, 2020",0
Algeria,DZA,"Feb 4, 2020",0
Algeria,DZA,"Feb 5, 2020",0
Algeria,DZA,"Feb 6, 2020",0
Algeria,DZA,"Feb 7, 2020",0
Algeria,DZA,"Feb 8, 2020",0
Algeria,DZA,"Feb 9, 2020",0
Algeria,DZA,"Feb 10, 2020",0
Algeria,DZA,"Feb 11, 2020",0
Algeria,DZA,"Feb 12, 2020",0
Algeria,DZA,"Feb 13, 2020",0
Algeria,DZA,"Feb 14, 2020",0
Algeria,DZA,"Feb 15, 2020",0
Algeria,DZA,"Feb 16, 2020",0
Algeria,DZA,"Feb 17, 2020",0
Algeria,DZA,"Feb 18, 2020",0
Algeria,DZA,"Feb 19, 2020",0
Algeria,DZA,"Feb 20, 2020",0
Algeria,DZA,"Feb 21, 2020",0
Algeria,DZA,"Feb 22, 2020",0
Algeria,DZA,"Feb 23, 2020",0
Algeria,DZA,"Feb 24, 2020",0
Algeria,DZA,"Feb 25, 2020",0
Algeria,DZA,"Feb 26, 2020",0
Algeria,DZA,"Feb 27, 2020",0
Algeria,DZA,"Feb 28, 2020",0
Algeria,DZA,"Feb 29, 2020",0
Algeria,DZA,"Mar 1, 2020",0
Algeria,DZA,"Mar 2, 2020",0
Algeria,DZA,"Mar 3, 2020",0
Algeria,DZA,"Mar 4, 2020",0
Algeria,DZA,"Mar 5, 2020",0
Algeria,DZA,"Mar 6, 2020",0
Algeria,DZA,"Mar 7, 2020",0
Algeria,DZA,"Mar 8, 2020",0
Algeria,DZA,"Mar 9, 2020",0
Algeria,DZA,"Mar 10, 2020",0
Algeria,DZA,"Mar 11, 2020",0
Algeria,DZA,"Mar 12, 2020",0
Algeria,DZA,"Mar 13, 2020",0
Algeria,DZA,"Mar 14, 2020",0
Algeria,DZA,"Mar 15, 2020",0
Algeria,DZA,"Mar 16, 2020",0
Algeria,DZA,"Mar 17, 2020",0
Algeria,DZA,"Mar 18, 2020",0
Algeria,DZA,"Mar 19, 2020",0
Algeria,DZA,"Mar 20, 2020",0
Algeria,DZA,"Mar 21, 2020",0
Algeria,DZA,"Mar 22, 2020",0
Algeria,DZA,"Mar 23, 2020",3
Algeria,DZA,"Mar 24, 2020",3
Algeria,DZA,"Mar 25, 2020",3
Algeria,DZA,"Mar 26, 2020",3
Algeria,DZA,"Mar 27, 2020",3
Algeria,DZA,"Mar 28, 2020",3
Algeria,DZA,"Mar 29, 2020",3
Algeria,DZA,"Mar 30, 2020",3
Algeria,DZA,"Mar 31, 2020",3
Algeria,DZA,"Apr 1, 2020",3
Algeria,DZA,"Apr 2, 2020",3
Algeria,DZA,"Apr 3, 2020",3
Algeria,DZA,"Apr 4, 2020",3
Algeria,DZA,"Apr 5, 2020",3
Algeria,DZA,"Apr 6, 2020",3
Algeria,DZA,"Apr 7, 2020",3
Algeria,DZA,"Apr 8, 2020",3
Algeria,DZA,"Apr 9, 2020",3
Algeria,DZA,"Apr 10, 2020",3
Algeria,DZA,"Apr 11, 2020",3
Algeria,DZA,"Apr 12, 2020",3
Algeria,DZA,"Apr 13, 2020",3
Algeria,DZA,"Apr 14, 2020",3
Algeria,DZA,"Apr 15, 2020",3
Algeria,DZA,"Apr 16, 2020",3
Algeria,DZA,"Apr 17, 2020",3
Algeria,DZA,"Apr 18, 2020",3
Algeria,DZA,"Apr 19, 2020",3
Algeria,DZA,"Apr 20, 2020",3
Algeria,DZA,"Apr 21, 2020",3
Algeria,DZA,"Apr 22, 2020",3
Algeria,DZA,"Apr 23, 2020",3
Algeria,DZA,"Apr 24, 2020",2
Algeria,DZA,"Apr 25, 2020",2
Algeria,DZA,"Apr 26, 2020",2
Algeria,DZA,"Apr 27, 2020",2
Algeria,DZA,"Apr 28, 2020",2
Algeria,DZA,"Apr 29, 2020",2
Algeria,DZA,"Apr 30, 2020",2
Algeria,DZA,"May 1, 2020",2
Algeria,DZA,"May 2, 2020",2
Algeria,DZA,"May 3, 2020",2
Algeria,DZA,"May 4, 2020",2
Algeria,DZA,"May 5, 2020",2
Algeria,DZA,"May 6, 2020",2
Algeria,DZA,"May 7, 2020",2
Algeria,DZA,"May 8, 2020",2
Andorra,AND,"Jan 1, 2020",0
Andorra,AND,"Jan 2, 2020",0
Andorra,AND,"Jan 3, 2020",0
Andorra,AND,"Jan 4, 2020",0
Andorra,AND,"Jan 5, 2020",0
Andorra,AND,"Jan 6, 2020",0
Andorra,AND,"Jan 7, 2020",0
Andorra,AND,"Jan 8, 2020",0
Andorra,AND,"Jan 9, 2020",0
Andorra,AND,"Jan 10, 2020",0
Andorra,AND,"Jan 11, 2020",0
Andorra,AND,"Jan 12, 2020",0
Andorra,AND,"Jan 13, 2020",0
Andorra,AND,"Jan 14, 2020",0
Andorra,AND,"Jan 15, 2020",0
Andorra,AND,"Jan 16, 2020",0
Andorra,AND,"Jan 17, 2020",0
Andorra,AND,"Jan 18, 2020",0
Andorra,AND,"Jan 19, 2020",0
Andorra,AND,"Jan 20, 2020",0
Andorra,AND,"Jan 21, 2020",0
Andorra,AND,"Jan 22, 2020",0
Andorra,AND,"Jan 23, 2020",0
Andorra,AND,"Jan 24, 2020",0
Andorra,AND,"Jan 25, 2020",0
Andorra,AND,"Jan 26, 2020",0
Andorra,AND,"Jan 27, 2020",0
Andorra,AND,"Jan 28, 2020",0
Andorra,AND,"Jan 29, 2020",0
Andorra,AND,"Jan 30, 2020",0
Andorra,AND,"Jan 31, 2020",0
Andorra,AND,"Feb 1, 2020",0
Andorra,AND,"Feb 2, 2020",0
Andorra,AND,"Feb 3, 2020",0
Andorra,AND,"Feb 4, 2020",0
Andorra,AND,"Feb 5, 2020",0
Andorra,AND,"Feb 6, 2020",0
Andorra,AND,"Feb 7, 2020",0
Andorra,AND,"Feb 8, 2020",0
Andorra,AND,"Feb 9, 2020",0
Andorra,AND,"Feb 10, 2020",0
Andorra,AND,"Feb 11, 2020",0
Andorra,AND,"Feb 12, 2020",0
Andorra,AND,"Feb 13, 2020",0
Andorra,AND,"Feb 14, 2020",0
Andorra,AND,"Feb 15, 2020",0
Andorra,AND,"Feb 16, 2020",0
Andorra,AND,"Feb 17, 2020",0
Andorra,AND,"Feb 18, 2020",0
Andorra,AND,"Feb 19, 2020",0
Andorra,AND,"Feb 20, 2020",0
Andorra,AND,"Feb 21, 2020",0
Andorra,AND,"Feb 22, 2020",0
Andorra,AND,"Feb 23, 2020",0
Andorra,AND,"Feb 24, 2020",0
Andorra,AND,"Feb 25, 2020",0
Andorra,AND,"Feb 26, 2020",0
Andorra,AND,"Feb 27, 2020",0
Andorra,AND,"Feb 28, 2020",0
Andorra,AND,"Feb 29, 2020",0
Andorra,AND,"Mar 1, 2020",0
Andorra,AND,"Mar 2, 2020",0
Andorra,AND,"Mar 3, 2020",0
Andorra,AND,"Mar 4, 2020",0
Andorra,AND,"Mar 5, 2020",0
Andorra,AND,"Mar 6, 2020",0
Andorra,AND,"Mar 7, 2020",0
Andorra,AND,"Mar 8, 2020",0
Andorra,AND,"Mar 9, 2020",0
Andorra,AND,"Mar 10, 2020",0
Andorra,AND,"Mar 11, 2020",0
Andorra,AND,"Mar 12, 2020",0
Andorra,AND,"Mar 13, 2020",1
Andorra,AND,"Mar 14, 2020",1
Andorra,AND,"Mar 15, 2020",1
Andorra,AND,"Mar 16, 2020",1
Andorra,AND,"Mar 17, 2020",1
Andorra,AND,"Mar 18, 2020",1
Andorra,AND,"Mar 19, 2020",1
Andorra,AND,"Mar 20, 2020",1
Andorra,AND,"Mar 21, 2020",1
Andorra,AND,"Mar 22, 2020",1
Andorra,AND,"Mar 23, 2020",1
Andorra,AND,"Mar 24, 2020",1
Andorra,AND,"Mar 25, 2020",1
Andorra,AND,"Mar 26, 2020",1
Andorra,AND,"Mar 27, 2020",1
Andorra,AND,"Mar 28, 2020",1
Andorra,AND,"Mar 29, 2020",1
Andorra,AND,"Mar 30, 2020",1
Andorra,AND,"Mar 31, 2020",1
Andorra,AND,"Apr 1, 2020",1
Andorra,AND,"Apr 2, 2020",1
Andorra,AND,"Apr 3, 2020",1
Andorra,AND,"Apr 4, 2020",1
Andorra,AND,"Apr 5, 2020",1
Andorra,AND,"Apr 6, 2020",1
Andorra,AND,"Apr 7, 2020",1
Andorra,AND,"Apr 8, 2020",1
Andorra,AND,"Apr 9, 2020",1
Andorra,AND,"Apr 10, 2020",1
Andorra,AND,"Apr 11, 2020",1
Andorra,AND,"Apr 12, 2020",1
Andorra,AND,"Apr 13, 2020",1
Andorra,AND,"Apr 14, 2020",1
Andorra,AND,"Apr 15, 2020",1
Andorra,AND,"Apr 16, 2020",1
Andorra,AND,"Apr 17, 2020",1
Andorra,AND,"Apr 18, 2020",1
Andorra,AND,"Apr 19, 2020",1
Andorra,AND,"Apr 20, 2020",1
Andorra,AND,"Apr 21, 2020",1
Andorra,AND,"Apr 22, 2020",1
Andorra,AND,"Apr 23, 2020",1
Andorra,AND,"Apr 24, 2020",1
Andorra,AND,"Apr 25, 2020",1
Andorra,AND,"Apr 26, 2020",1
Andorra,AND,"Apr 27, 2020",1
Andorra,AND,"Apr 28, 2020",1
Andorra,AND,"Apr 29, 2020",1
Andorra,AND,"Apr 30, 2020",1
Andorra,AND,"May 1, 2020",1
Andorra,AND,"May 2, 2020",1
Andorra,AND,"May 3, 2020",1
Andorra,AND,"May 4, 2020",1
Andorra,AND,"May 5, 2020",1
Andorra,AND,"May 6, 2020",1
Andorra,AND,"May 7, 2020",1
Andorra,AND,"May 8, 2020",1
Angola,AGO,"Jan 1, 2020",0
Angola,AGO,"Jan 2, 2020",0
Angola,AGO,"Jan 3, 2020",0
Angola,AGO,"Jan 4, 2020",0
Angola,AGO,"Jan 5, 2020",0
Angola,AGO,"Jan 6, 2020",0
Angola,AGO,"Jan 7, 2020",0
Angola,AGO,"Jan 8, 2020",0
Angola,AGO,"Jan 9, 2020",0
Angola,AGO,"Jan 10, 2020",0
Angola,AGO,"Jan 11, 2020",0
Angola,AGO,"Jan 12, 2020",0
Angola,AGO,"Jan 13, 2020",0
Angola,AGO,"Jan 14, 2020",0
Angola,AGO,"Jan 15, 2020",0
Angola,AGO,"Jan 16, 2020",0
Angola,AGO,"Jan 17, 2020",0
Angola,AGO,"Jan 18, 2020",0
Angola,AGO,"Jan 19, 2020",0
Angola,AGO,"Jan 20, 2020",0
Angola,AGO,"Jan 21, 2020",0
Angola,AGO,"Jan 22, 2020",0
Angola,AGO,"Jan 23, 2020",0
Angola,AGO,"Jan 24, 2020",0
Angola,AGO,"Jan 25, 2020",0
Angola,AGO,"Jan 26, 2020",0
Angola,AGO,"Jan 27, 2020",0
Angola,AGO,"Jan 28, 2020",0
Angola,AGO,"Jan 29, 2020",0
Angola,AGO,"Jan 30, 2020",0
Angola,AGO,"Jan 31, 2020",0
Angola,AGO,"Feb 1, 2020",0
Angola,AGO,"Feb 2, 2020",0
Angola,AGO,"Feb 3, 2020",0
Angola,AGO,"Feb 4, 2020",0
Angola,AGO,"Feb 5, 2020",0
Angola,AGO,"Feb 6, 2020",0
Angola,AGO,"Feb 7, 2020",0
Angola,AGO,"Feb 8, 2020",0
Angola,AGO,"Feb 9, 2020",0
Angola,AGO,"Feb 10, 2020",0
Angola,AGO,"Feb 11, 2020",0
Angola,AGO,"Feb 12, 2020",0
Angola,AGO,"Feb 13, 2020",0
Angola,AGO,"Feb 14, 2020",0
Angola,AGO,"Feb 15, 2020",0
Angola,AGO,"Feb 16, 2020",0
Angola,AGO,"Feb 17, 2020",0
Angola,AGO,"Feb 18, 2020",0
Angola,AGO,"Feb 19, 2020",0
Angola,AGO,"Feb 20, 2020",0
Angola,AGO,"Feb 21, 2020",0
Angola,AGO,"Feb 22, 2020",0
Angola,AGO,"Feb 23, 2020",0
Angola,AGO,"Feb 24, 2020",0
Angola,AGO,"Feb 25, 2020",0
Angola,AGO,"Feb 26, 2020",0
Angola,AGO,"Feb 27, 2020",0
Angola,AGO,"Feb 28, 2020",0
Angola,AGO,"Feb 29, 2020",0
Angola,AGO,"Mar 1, 2020",0
Angola,AGO,"Mar 2, 2020",0
Angola,AGO,"Mar 3, 2020",0
Angola,AGO,"Mar 4, 2020",0
Angola,AGO,"Mar 5, 2020",0
Angola,AGO,"Mar 6, 2020",0
Angola,AGO,"Mar 7, 2020",0
Angola,AGO,"Mar 8, 2020",0
Angola,AGO,"Mar 9, 2020",0
Angola,AGO,"Mar 10, 2020",0
Angola,AGO,"Mar 11, 2020",0
Angola,AGO,"Mar 12, 2020",0
Angola,AGO,"Mar 13, 2020",0
Angola,AGO,"Mar 14, 2020",0
Angola,AGO,"Mar 15, 2020",0
Angola,AGO,"Mar 16, 2020",0
Angola,AGO,"Mar 17, 2020",0
Angola,AGO,"Mar 18, 2020",0
Angola,AGO,"Mar 19, 2020",0
Angola,AGO,"Mar 20, 2020",0
Angola,AGO,"Mar 21, 2020",0
Angola,AGO,"Mar 22, 2020",0
Angola,AGO,"Mar 23, 2020",0
Angola,AGO,"Mar 24, 2020",0
Angola,AGO,"Mar 25, 2020",0
Angola,AGO,"Mar 26, 2020",0
Angola,AGO,"Mar 27, 2020",2
Angola,AGO,"Mar 28, 2020",2
Angola,AGO,"Mar 29, 2020",2
Angola,AGO,"Mar 30, 2020",2
Angola,AGO,"Mar 31, 2020",2
Angola,AGO,"Apr 1, 2020",2
Angola,AGO,"Apr 2, 2020",2
Angola,AGO,"Apr 3, 2020",2
Angola,AGO,"Apr 4, 2020",2
Angola,AGO,"Apr 5, 2020",2
Angola,AGO,"Apr 6, 2020",2
Angola,AGO,"Apr 7, 2020",2
Angola,AGO,"Apr 8, 2020",2
Angola,AGO,"Apr 9, 2020",2
Angola,AGO,"Apr 10, 2020",2
Angola,AGO,"Apr 11, 2020",2
Angola,AGO,"Apr 12, 2020",2
Angola,AGO,"Apr 13, 2020",2
Angola,AGO,"Apr 14, 2020",2
Angola,AGO,"Apr 15, 2020",2
Angola,AGO,"Apr 16, 2020",2
Angola,AGO,"Apr 17, 2020",2
Angola,AGO,"Apr 18, 2020",2
Angola,AGO,"Apr 19, 2020",2
Angola,AGO,"Apr 20, 2020",2
Angola,AGO,"Apr 21, 2020",2
Angola,AGO,"Apr 22, 2020",2
Angola,AGO,"Apr 23, 2020",2
Angola,AGO,"Apr 24, 2020",2
Angola,AGO,"Apr 25, 2020",2
Angola,AGO,"Apr 26, 2020",2
Angola,AGO,"Apr 27, 2020",2
Angola,AGO,"Apr 28, 2020",2
Angola,AGO,"Apr 29, 2020",2
Angola,AGO,"Apr 30, 2020",2
Angola,AGO,"May 1, 2020",2
Angola,AGO,"May 2, 2020",2
Angola,AGO,"May 3, 2020",2
Angola,AGO,"May 4, 2020",2
Angola,AGO,"May 5, 2020",2
Angola,AGO,"May 6, 2020",2
Angola,AGO,"May 7, 2020",2
Angola,AGO,"May 8, 2020",2
Angola,AGO,"May 9, 2020",2
Angola,AGO,"May 10, 2020",2
Angola,AGO,"May 11, 2020",2
Angola,AGO,"May 12, 2020",2
